Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,497.010010,506.980011,497.010010,504.660004,504.660004,0
2000-01-04,501.660004,501.660004,486.230011,487.609985,487.609985,0
2000-01-05,480.670013,480.670013,471.649994,476.790009,476.790009,0
2000-01-06,476.790009,479.019989,471.589996,472.809998,472.809998,0
2000-01-09,null,null,null,null,null,null
2000-01-10,490.029999,499.450012,489.209991,498.230011,498.230011,0
2000-01-11,498.230011,501.859985,495.350006,496.700012,496.700012,0
2000-01-12,496.700012,499.700012,491.040009,498.600006,498.600006,0
2000-01-13,500.000000,506.079987,500.000000,504.250000,504.250000,0
2000-01-16,null,null,null,null,null,null
2000-01-17,514.969971,520.299988,511.250000,519.130005,519.130005,0
2000-01-18,519.130005,522.869995,511.399994,512.679993,512.679993,0
2000-01-19,512.679993,518.690002,511.239990,517.880005,517.880005,0
2000-01-20,521.630005,528.489990,521.630005,528.169983,528.169983,0
2000-01-23,null,null,null,null,null,null
2000-01-24,527.309998,529.140015,526.250000,527.200012,527.200012,0
2000-01-25,520.419983,520.419983,512.520020,514.719971,514.719971,0
2000-01-26,514.719971,518.179993,513.500000,515.140015,515.140015,0
2000-01-27,512.380005,512.380005,503.720001,506.250000,506.250000,0
2000-01-30,null,null,null,null,null,null
2000-01-31,489.510010,495.140015,489.510010,490.950012,490.950012,0
2000-02-01,493.899994,500.049988,493.899994,499.390015,499.390015,0
2000-02-02,505.579987,513.510010,505.579987,511.809998,511.809998,0
2000-02-03,513.890015,520.919983,513.890015,517.400024,517.400024,0
2000-02-06,null,null,null,null,null,null
2000-02-07,529.760010,535.510010,525.400024,534.109985,534.109985,0
2000-02-08,534.109985,542.049988,533.150024,540.659973,540.659973,0
2000-02-09,540.659973,547.760010,536.150024,537.900024,537.900024,0
2000-02-10,537.609985,537.609985,527.080017,536.210022,536.210022,0
2000-02-13,null,null,null,null,null,null
2000-02-14,536.890015,541.619995,536.890015,539.229980,539.229980,0
2000-02-15,539.229980,542.390015,536.239990,536.349976,536.349976,0
2000-02-16,536.349976,542.700012,530.880005,539.369995,539.369995,0
2000-02-17,539.840027,548.830017,539.840027,547.479980,547.479980,0
2000-02-20,null,null,null,null,null,null
2000-02-21,549.080017,550.650024,546.309998,547.989990,547.989990,0
2000-02-22,547.989990,549.469971,545.210022,548.059998,548.059998,0
2000-02-23,548.059998,557.090027,547.590027,556.419983,556.419983,0
2000-02-24,563.549988,568.650024,563.549988,566.799988,566.799988,0
2000-02-27,null,null,null,null,null,null
